distribution,training_iqr_scaled_euclidean_distance
posterior_predictive,2.800047817400995
posterior_predictive,4.243256697852285
posterior_predictive,1.9214119411836765
posterior_predictive,1.6872282572118371
posterior_predictive,3.0382992962051967
posterior_predictive,2.8732716457280176
posterior_predictive,2.9043982514209885
posterior_predictive,3.3126100425228344
posterior_predictive,2.376794019743631
posterior_predictive,1.5747852466074077
posterior_predictive,3.9752887332715785
posterior_predictive,3.108202850548531
posterior_predictive,3.0312851783239414
posterior_predictive,3.402314742765692
prior_predictive,3.599809894959109
prior_predictive,4.289860232865127
prior_predictive,3.482929868658473
prior_predictive,3.574998315233197
prior_predictive,4.70824885093913
prior_predictive,2.310324681526899
prior_predictive,6.42146580253941
prior_predictive,2.2123326696229206
prior_predictive,4.173319796757346
prior_predictive,4.200893701193049
prior_predictive,5.464700876905796
prior_predictive,40.09401561395838
prior_predictive,3.70960973316033
prior_predictive,4.314723934389525
prior_predictive,3.4617678401132954
prior_predictive,7.845030279702043
prior_predictive,3.9556805416535297
prior_predictive,3.66686488397248
prior_predictive,3.969866517357323
prior_predictive,5.125324298856492
prior_predictive,5.061497216359124
prior_predictive,4.157511606252467
prior_predictive,45.712588674771574
prior_predictive,4.175672675657097
prior_predictive,5.499886714061733
prior_predictive,4.286267513880218
prior_predictive,2.9926453355580325
prior_predictive,4.504293458373473
prior_predictive,3.7370883122314402
prior_predictive,2.8732071726115818
prior_predictive,3.642380017394973
prior_predictive,4.64104164135094
prior_predictive,5.490138670770987
prior_predictive,3.801102093445898
prior_predictive,14.138627524009943
prior_predictive,4.7730269516587445
prior_predictive,4.947775606136256
prior_predictive,5.321589352193864
prior_predictive,4.9037388729013385
prior_predictive,4.425004046066101
prior_predictive,3.837701431312547
prior_predictive,3.624688601348661
prior_predictive,2.7937839071346935
prior_predictive,5.348433852257527
prior_predictive,4.544586945380649
prior_predictive,4.369599943490065
prior_predictive,1.884822796425999
prior_predictive,4.112993819336667
prior_predictive,5.019300633305247
prior_predictive,5.5772775275752755
prior_predictive,5.446617593800554
prior_predictive,3.4142270651415614
prior_predictive,3.208601100800323
prior_predictive,3.165626398552209
prior_predictive,4.5366279973788135
prior_predictive,3.5419597124946107
prior_predictive,3.545156961885173
prior_predictive,6.0587286393629105
prior_predictive,3.731576725985452
prior_predictive,8.332950071728781
prior_predictive,5.596821758495188
prior_predictive,3.3498322330691574
prior_predictive,5.3654130560406825
prior_predictive,25.358265682789188
prior_predictive,4.7592505436482995
prior_predictive,3.7094868830261363
prior_predictive,5.2847303958322875
prior_predictive,3.9919866185976556
prior_predictive,4.42000069099482
prior_predictive,5.638377641502834
prior_predictive,3.1684696914185917
prior_predictive,4.620902773419969
prior_predictive,3.3817401568569934
prior_predictive,4.615944602955126
prior_predictive,5.650508306291964
prior_predictive,4.35992000291417
prior_predictive,5.476241603715239
prior_predictive,4.080123166046601
prior_predictive,4.67057131885155
prior_predictive,3.7026333667358093
prior_predictive,4.376285565144097
prior_predictive,2.864140068838172
prior_predictive,4.929712339387819
prior_predictive,3.943360519674663
prior_predictive,4.483177392556859
prior_predictive,3.6916912638160664
prior_predictive,4.4883384086124245
prior_predictive,4.565041831750927
prior_predictive,4.8153902845952015
prior_predictive,4.698409272381294
prior_predictive,3.270672749401383
prior_predictive,4.637250867121178
prior_predictive,4.180242604724797
prior_predictive,14.909577476809831
prior_predictive,6.580355228344526
prior_predictive,4.135617953109418
prior_predictive,4.668784305427635
prior_predictive,3.6207142786377444
prior_predictive,4.434320308067544
prior_predictive,5.307922922177549
prior_predictive,4.242334209275885
prior_predictive,2.3759040260801587
prior_predictive,5.82470281051246
prior_predictive,3.9044573079145155
prior_predictive,5.144662166757489
prior_predictive,3.8552622764404414
prior_predictive,4.638106668308211
prior_predictive,4.367395247992671
prior_predictive,5.569373860789961
prior_predictive,3.0740055962309465
prior_predictive,4.238739667222906
prior_predictive,2.7644973040953413
prior_predictive,2.8231404147809775
prior_predictive,5.497602528257685
prior_predictive,3.9577251564675504
prior_predictive,3.2386779461688997
prior_predictive,2.3059852939212147
prior_predictive,4.168824770810951
prior_predictive,4.318885249987207
prior_predictive,4.586615958250311
prior_predictive,5.452884612553708
prior_predictive,4.661135238920692
prior_predictive,5.727949650432255
prior_predictive,4.819863723624696
