sample_id_a,sample_id_b,theta_rms_distance,x_distance,x_to_noise_ratio,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
629,1037,0.35058122271551023,0.4217502822015874,0.18298593637448635,0.09603553824126732,0.16457229480147334,0.08100046962499607,0.00932199414819479,0.8025770280510187,0.2460015406832099,0.13853132631629705,-0.4652581401169299
167,1171,0.38044539704518776,0.42176183724156324,0.1829909497909535,-0.2819854151457546,0.10146926809102302,0.0758335692808032,-0.397549335844815,-0.8714034333825112,0.3711350392550229,0.08483912516385318,-0.004332602955401055
479,1271,0.4279566438702398,0.42184058276179226,0.18302511532293417,-0.19146269652992473,-0.042770747095346034,-0.3221210567280654,0.0705426856875419,0.475995182991028,-0.25192258320748806,0.8821405479684472,-0.4997411500662567
415,975,0.3782872370913108,0.4222117739106661,0.1831861650312972,-0.08706686738878465,0.17284501064568786,0.19219542853534222,-0.4952164757996799,-0.6154935583472253,-0.07068582903593801,-0.6641060942783952,0.01759775448590517
1614,1642,0.2764685549963298,0.42375707186853234,0.1838566276385103,0.2637666556984185,-0.028011218644678815,-0.06381267961114634,0.26665905211120833,0.24113205168396246,-0.5104309516027569,0.3629302214831114,-0.12465769797563553
1101,1571,0.39884223472942726,0.4242415420658542,0.1840668260342048,0.18234737683087582,0.034256073646247276,0.1368011692538859,0.19264289643615481,0.4177443617954851,0.7167268553748726,0.6191430240869522,0.3328743223100901
346,1070,0.37228450585714046,0.4251662601499903,0.18446803597204947,-0.13324801996350266,-0.023426277562976106,-0.2283234838396313,0.16224573552608468,0.4319736771285534,0.3230737382546069,0.8119186302646995,-0.24863054696470505
831,1565,0.5125032994434007,0.42686274061337987,0.18520409254209813,-0.5300809564068911,0.061287341639399556,0.030205410905182806,-0.6625488651916386,0.8415709007531403,-0.33272914681583626,0.6900012940168381,-0.28565657604485745
362,648,0.277164436646574,0.42758407650229285,0.1855170604964626,0.4407607084140183,-0.034069026820361614,-0.14205577224492993,0.5781868668273094,0.03962543699890364,-0.22590009029954672,0.02847441378980875,-0.10601219348609436
1070,1420,0.28903608833227856,0.4279818205183637,0.18568963076917977,0.4089888427406549,0.05842610541731119,0.05741658434271801,0.4448934011161329,-0.3920479780063032,-0.3732392247766256,-0.05204696208238602,-0.02654382865875954
1055,1863,0.3717803573630544,0.42854956456775045,0.1859359594164441,-0.10994186066091086,-0.14164468180388187,0.006009499542415198,-0.2703064642846586,0.6059720888733864,-0.11652065813541412,0.5254564881324768,0.586198932491243
1285,1363,0.39133348343979835,0.4290643568458242,0.1861593137353789,0.26441156584769465,0.15739863738417648,0.2430239683017134,0.047214607708156,0.21862002275884151,0.3406549450010061,-0.011751712299883366,-0.9514088910073044
968,1936,0.315442694215559,0.42972401958775797,0.1864455233945497,0.10314664896577619,0.06410254444926977,-0.21186381578445435,0.3167953072115779,0.4667599825188517,-0.013011728413403034,0.33239123597741127,0.554545504041016
349,1529,0.35414192901482505,0.43032278261193174,0.18670531032835544,-0.2548323133960364,-0.03442829661071303,-0.041461393237114064,-0.1749273184686897,-0.040385358035564534,0.7759246584028006,0.4663412217050791,0.2893517408519984
1227,1271,0.2630262245990728,0.43043185716016835,0.186752634797801,0.1112252520397306,-0.023181409575044734,-0.34703911934047954,0.42286787834018463,0.21655753720551724,-0.20061465352773689,0.32696071080863476,-0.21737943496555112
199,589,0.46641993588289016,0.43107722682021576,0.18703264307885062,-0.42393492348492134,0.0068572405725718655,-0.026778624393046124,-0.6658204756677151,0.6061195507645608,-0.31174035836011166,0.23881172575056553,-0.7713524550199511
1115,1599,0.33012418044496294,0.43200560197501686,0.18743543971984228,0.25483044143766154,0.0034407163038848443,0.13569126743823312,0.10106265917420401,-0.4462006473913789,-0.1174871362745763,-0.568113717250526,-0.4925730219110847
1570,1948,0.28587499707403985,0.4325685354620711,0.18767968119540798,0.17430871259421116,0.035453355871140735,-0.0830552214756608,0.4651204701513051,-0.33270831126719713,0.11651245318353176,0.4454216631129384,0.27613401133567084
118,339,0.27846287192963876,0.43478150454481845,0.18863982808057536,0.3342800680547955,0.1645981837064031,0.07377315592020739,0.3373343488201498,-0.008524059318006039,0.10485760401934391,0.2708730800077319,0.5270862346515058
521,855,0.33775936368297726,0.43565074012871263,0.1890169656758808,0.525888906791806,-0.03448961675167106,-0.05323126539587955,0.7326362961903212,0.05641930364072345,-0.1608450999483465,0.12660726718604576,-0.22411878965795043
