theta_id_a,theta_id_b,theta_rms_distance,x_distance,noise_floor_q95,severity_ratio_x_to_noise,delta_mue_prior_width,delta_mui_prior_width,delta_b_prior_width,delta_tauA_prior_width,delta_g_LK_prior_width,delta_g_h_prior_width,delta_c_th2ctx_prior_width,delta_c_ctx2th_prior_width
4,91,0.40997968566790294,2.142585968218324,2.3048234774636587,0.929609572780008,0.033200035803020056,0.6273361565545199,0.07388940174132563,0.13220459315925848,-0.35414381232112657,0.18044593464583175,-0.8359638080000877,-0.2650699606165292
4,106,0.2961136470588891,0.699725353531341,2.3048234774636587,0.30359173289112507,-0.3712506880983709,0.20016151666641224,0.1726942360401153,-0.5997307691723108,0.24110240302979935,-0.026005377061664947,0.06937393173575401,0.2654335023835301
4,109,0.4304772392664878,2.288941685996146,2.3048234774636587,0.9931093241531062,-0.2268207864835855,0.6424109702929852,-0.05954264942556614,-0.7607873957604169,0.05530242435634125,-0.33589055389165867,-0.5586824174970388,-0.08942063339054596
4,111,0.42557869282061256,2.1166779344125826,2.3048234774636587,0.9183687840345497,0.35087811108678585,0.5383374122902749,0.3158576441928743,-0.36274705547839403,-0.40248013008385897,0.3394534196704628,-0.71164938993752,0.14491363242268557
4,113,0.384399567200351,1.6525244870578197,2.3048234774636587,0.7169852716340511,-0.5732780164107681,0.5587428947910664,0.06534822378307559,-0.5187579728662968,-0.22153328079730272,0.4315995862707497,-0.020274534821510315,0.17921058181673294
4,114,0.326997317991309,2.1926545910030883,2.3048234774636587,0.951332981654627,-0.22047079447656848,0.28934812732040893,-0.19687810912728315,-0.03611876443028453,-0.2641046587377788,0.31522944755852234,-0.6097658108919859,0.37694493401795626
4,115,0.3274188504396304,1.7271530650512348,2.3048234774636587,0.7493645747447345,-0.06089058052748425,0.6884432239457963,0.19092873949557532,-0.41710864286869764,0.3763487096875905,-0.017056955955922493,-0.11733425781130791,-0.11761407647281885
4,118,0.3836956294780572,1.2726517817462966,2.3048234774636587,0.5521688728833956,-0.4598940433934334,0.03443165868520748,0.2977147791534662,-0.6703544110059739,-0.03676471579819929,0.11598168686032301,-0.39871985651552677,-0.5032897498458624
4,120,0.35235177744207385,1.564613896373222,2.3048234774636587,0.6788432657302677,0.15087806619703775,0.20489598996937275,0.34628932457417255,-0.20110560581088063,-0.1162905227392913,0.09919536858797084,-0.8064008234068752,0.3073473395779729
4,124,0.35435773859564695,1.5793297131295498,2.3048234774636587,0.6852280569735961,-0.10567030496895313,-0.03824170678854011,-0.11703500058501964,-0.6293623819947243,-0.37305662874132395,-0.10743735171854485,-0.5797636723145843,-0.30869477801024925
4,127,0.307437793944947,1.9734278551224969,2.3048234774636587,0.8562164844373046,0.2486742287874223,0.7626775139942765,0.14128557965159394,-0.11203991621732698,-0.05606990121305,-0.20811011362820842,-0.18290792871266603,-0.01430361159145821
6,17,0.3359457917871953,1.6901871714175125,2.3048234774636587,0.7333260824284373,-0.2298171622678633,0.31538992840796704,-0.09456449002027502,-0.3403373686596751,-0.19819216895848507,-0.7557605933398007,-0.09469799418002367,-0.07997485529631387
6,21,0.43395438988806545,2.1039211379602323,2.3048234774636587,0.9128339582324503,0.028801404871047098,0.5761670796200635,-0.5520942602306607,0.24488680902868495,0.02966992929577826,-0.69762521982193,0.14750306215137243,0.5473913121968508
6,22,0.3354052487928463,1.9099357165463715,2.3048234774636587,0.8286689784365434,-0.08517500851303317,-0.2247523162513969,-0.2995720366016033,-0.24947114940732718,-0.26394003350287687,-0.5637073768302798,-0.4700378058478236,0.286111718043685
6,26,0.44100411992451455,2.1361974289686487,2.3048234774636587,0.9268377599656463,0.10526065714657384,-0.16614309698343277,-0.12498800270259386,-0.0388853494077922,-0.722146295942366,-0.7957494454458356,-0.5377057399600744,0.23710704129189258
6,37,0.3616506629563209,2.260596581528135,2.3048234774636587,0.9808111569636591,0.08544696960598297,0.6079868106171487,-0.33697529695928125,0.16522880177944896,-0.24652075674384832,-0.6026047402992845,0.025855151005089283,0.3224191628396511
6,62,0.30353182895862213,1.831963784508601,2.3048234774636587,0.7948390852580972,-0.11701715644448918,-0.2818397097289562,-0.19822481367737046,0.20119958836585286,-0.5255700517445802,-0.12546855676919222,-0.188816181384027,0.48634739965200424
6,86,0.4350175088453148,1.6875876249159325,2.3048234774636587,0.7321982101523181,-0.10518698394298465,0.03175158239901066,-0.5010316586121916,0.3368918932974338,-0.6113078631460666,-0.8005428873002529,-0.1149912653490901,0.3309551626443863
6,89,0.40398888277618156,1.7812427952574361,2.3048234774636587,0.7728326323791197,-0.02539563644677323,0.3678105669096113,-0.1759857265278697,-0.1331811556592583,-0.36242227349430334,-0.7101695248857139,-0.2727399691939354,0.6410465212538838
6,102,0.4721435736925468,2.1429330582566313,2.3048234774636587,0.9297601656743016,-0.04464469105005198,0.12883315421640895,-0.27864942979067553,0.1978609655052422,-0.8243616288527846,-0.7699526520445944,0.2887156894430518,0.540569057688117
6,110,0.3171955104040196,1.9314714166814377,2.3048234774636587,0.8380127309389108,-0.22276752348989248,-0.18663817830383744,-0.697429647669196,-0.11419314052909624,0.116929629817605,-0.42501567397266626,-0.05038924142718315,-0.15539186447858833
7,10,0.39790843658103336,2.1937556559876557,2.3048234774636587,0.9518107036994314,-0.47029665578156693,-0.40900299604982143,0.20742954313755074,0.08470620587468158,0.28805946931242943,0.5858677094802259,0.40927972737699747,-0.4839992905035614
7,12,0.32642641950842755,1.8573581161944854,2.3048234774636587,0.8058569926745166,-0.19614368397742488,-0.5203513847663999,0.03060208819806587,0.3004754567518831,0.4917334206402301,0.1018795734271406,0.3069884115830064,-0.3248856309801341
7,15,0.4691558385929517,1.3712159337305245,2.3048234774636587,0.5949331682613187,0.19335116539150482,-0.31345729902386654,0.287915092892945,-0.18609300907701265,0.9334747223183512,0.46792735531926144,0.19017716404050589,-0.6174085568636658
7,19,0.36315565772282205,1.2423061339589456,2.3048234774636587,0.5390027245496651,-0.15562611911445845,0.10271528735756846,0.162797155790031,-0.09985964093357325,0.15670391544699658,0.6416756296530366,0.7247689822688699,0.14905591029673815
7,23,0.42547124373852796,1.5271663452432254,2.3048234774636587,0.6625957953724918,0.10092111956328143,-0.1619061138480904,-0.2956429263576865,0.25032566022127883,0.39185256045311667,0.5514965010806916,0.5294738607481122,-0.7236715462058783
7,25,0.35396403631624307,1.2882413121525351,2.3048234774636587,0.5589327446326516,-0.5723508130759001,0.04213361814618102,-0.25048651359975316,-0.15640036109834898,0.3211170360445975,0.4119088714942334,0.5586138758808374,-0.030405904166400433
