mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,old_score,old_feasible,new_score,new_feasible,n_passed_new,old_T1_min_rE,old_T2_max_rE,old_T3_longest_ms,old_T4_freq,old_T4_q,old_T5_fwhm,old_T6_ibi_cv,old_T6_n_bursts,old_T7_sp_cv,old_T8_n_sp_events,old_T8_mean_sp_dur,old_T9_mi,old_T10_phase,old_T10_dist_to_target,old_T11_lag_ms,old_T12_n_verified,T9_new,T9_mi,T10a_new,T10a_phase_argmax_deg,T10b_new,T10b_concentration,T11_new,T11_up_down_ratio,pac_bimodal,pac_ok,pac_n_so_cycles,shape_r,T4_q,T12_n_verified
3.4377677221943164,2.844057962103342,40.62114123290977,1605.6731832380442,0.0464806891023501,0.066853098295867,0.0204313304024816,0.0507218630562454,0.638401,True,-10.0,0,11,9.837260971756853e-10,56.72765796750041,152.0,0.75,2.221,0.25,0.43,50,0.75,26,0.454,0.01353,2.34,0.802,-1314.0,26,True,0.012582747062303308,True,10.000000000000002,True,0.17242596265976737,True,1.709036246572144,False,True,41,0.600052,2.221,26
3.9977783007289633,3.4734953366210903,35.88002564311891,1595.5815549363735,0.0549312308072291,0.0672875073291551,0.0100273058239221,0.1229106363305923,0.634522,True,-10.0,0,11,1.0318472426087958e-11,65.06611155482311,212.0,0.75,3.813,2.0,0.388,50,1.373,25,0.55,0.00758,-3.137,0.004,-1438.0,12,True,0.007489645585600657,True,10.000000000000002,False,0.07298913874626543,True,1.4254122982328752,True,True,41,0.484419,3.813,12
3.624049546191268,3.08367802442223,35.49251462019964,1834.4767678129715,0.0517299683763094,0.0626574209673639,0.0055318461424978,0.2030168341863687,0.634202,True,-10.0,0,10,1.81844581896085e-11,62.57014073075767,192.0,0.5,2.158,1.75,0.41,37,1.081,17,0.609,0.01627,3.049,0.093,647.0,16,True,0.014014070535982628,True,-10.000000000000002,True,0.10435899123203028,False,1.0890962996549143,True,True,30,0.629778,2.158,16
3.646378513280141,3.306128191655984,37.96187447306652,1466.248816904682,0.0543953282882053,0.0678011414764839,0.0003045744336755,0.1026305343452231,0.632285,True,-10.0,0,9,4.2881217544665365e-12,65.33723727148794,191.0,1.25,2.205,2.0,0.273,37,1.245,27,0.499,0.00302,3.118,0.023,850.0,14,False,0.003678686226167651,False,-170.0,True,0.09675025041858779,False,1.0038128882814594,False,True,33,0.607945,2.205,14
3.762559808710475,2.987115681699101,33.904900385072395,1753.6606694524098,0.0563504826687209,0.0692995621829909,0.0131609572638893,0.1358133765714511,0.63228,True,0.633593,1,12,5.3711360034163804e-11,62.127446480180865,214.0,0.75,2.878,1.75,0.383,45,1.31,21,0.655,0.02,-2.636,0.506,-1592.0,15,True,0.0135477914860747,True,-10.000000000000002,True,0.11932257270962453,True,1.4919330110617366,False,True,37,0.532436,2.878,15
3.505854597766852,3.4613746586130336,35.48431646095581,1590.8230733011756,0.0512656517592919,0.0626502760738482,0.009957571547314,0.1152790921706158,0.629849,True,-10.0,0,9,3.11613084573289e-12,61.9958374059187,193.0,0.5,2.147,1.5,0.484,39,0.94,24,0.495,0.01075,2.946,0.195,-1004.0,24,True,0.010901371252026521,False,90.0,True,0.1001125524024767,False,1.1577541860462075,True,True,30,0.590322,2.147,24
3.8490456787722858,3.0315766621678235,38.807343598002,1799.1655962332588,0.0547363448009155,0.0715135522018649,0.0120164893698025,0.1636770494985514,0.622908,True,-10.0,0,11,1.3971749370277061e-11,60.664316859137784,183.0,0.75,2.619,0.75,0.419,46,1.321,19,0.724,0.00982,2.856,0.286,-1505.0,18,True,0.009154595049884902,True,10.000000000000002,True,0.10901935675377547,True,1.2859809519961296,True,True,37,0.52644,2.619,18
3.644303646809944,3.3062745440970653,35.29575833573699,1412.945736788854,0.0636067435106465,0.0669342573571926,0.0037729656966428,0.081554447482904,0.622654,True,-10.0,0,9,8.504898144932911e-12,66.00625939519598,209.0,1.25,2.462,0.5,0.449,43,0.745,10,1.075,0.00126,-3.053,0.089,1465.0,10,False,0.001152378051491323,True,-30.000000000000004,False,0.0457292653139899,True,1.3660015148196787,False,True,34,0.575183,2.462,10
4.05348198647345,3.478638576156797,33.5862324955109,1841.2877749163677,0.0498280914534964,0.0741866543436312,0.0035833481421024,0.1272286970500368,0.622497,True,-10.0,0,9,1.36529817085635e-12,66.85207637232814,229.0,0.75,2.769,0.5,0.538,48,0.916,17,0.802,0.0013,-3.062,0.08,1056.0,17,False,0.0022970252855142033,False,-110.0,False,0.0693835988486124,True,1.2163938021195662,False,True,35,0.493744,2.769,17
3.9519646419067898,2.795779178607263,36.58305409810636,1795.2228769848682,0.0522612808591826,0.061099326278942,0.0090413310464724,0.1013993828150896,0.622389,True,0.606201,1,12,3.9782031469449675e-10,59.55476235337554,184.0,0.75,2.729,2.25,0.388,55,1.066,24,0.499,0.01335,0.287,0.287,-1149.0,20,True,0.013016801563651445,True,-10.000000000000002,True,0.1759176719553279,True,1.8674837833518891,False,True,44,0.496277,2.729,20
3.6199406981160647,2.839905008849729,42.14799383526741,1560.908173628907,0.0519366329977334,0.0682455192199463,0.0151884025860065,0.134415615093534,0.622146,True,-10.0,0,10,1.6706995410180782e-10,59.20471129808813,162.0,0.75,2.888,2.5,0.412,50,1.247,27,0.489,0.01764,2.847,0.294,-1392.0,21,True,0.01167140117774601,True,10.000000000000002,False,0.07621849333602623,True,1.3605732370458674,True,True,41,0.510416,2.888,21
3.5165397810430403,3.280458041040735,33.24043789500037,1726.3690273217562,0.0526935900686513,0.0681215095301163,0.001451123784336,0.1680360598192664,0.620751,True,-10.0,0,10,8.406681166611401e-12,64.43433489659459,213.0,0.5,2.368,1.75,0.256,29,1.255,26,0.501,0.0046,-2.991,0.151,1772.0,23,False,0.0048236971277974385,False,-50.00000000000001,False,0.07215635120967412,True,1.4870633135020346,True,True,26,0.577503,2.368,23
3.740013707313629,3.054201954148558,34.44124135662708,1786.6124656725144,0.0533184798828265,0.070303317663919,0.0174001784123003,0.132473516516883,0.620645,True,0.629958,1,12,1.5973425866955746e-10,59.44067843147052,196.0,0.75,2.573,1.0,0.168,39,1.224,23,0.598,0.01859,2.811,0.331,-1554.0,21,True,0.016122856081446587,True,10.000000000000002,True,0.17513214921767895,True,1.6699121285963654,False,True,37,0.56329,2.573,21
3.863286418024392,3.102118408228066,37.96187447306652,1594.8759740835892,0.0543953282882053,0.0672659962845899,0.0003045744336755,0.1417434822123794,0.618623,True,-10.0,0,9,1.2042412989229805e-11,63.552506279079964,196.0,0.75,3.191,2.5,0.534,52,1.288,27,0.491,0.00211,-2.949,0.193,-227.0,13,False,0.0014773496710019306,True,-10.000000000000002,False,0.04477559295983948,True,1.3072422979863212,False,True,37,0.592955,3.191,13
