case,member,finite_rate,within_prior_rate,mean_normalized_median_error,boundary_sample_fraction,mean_posterior_std
14,1,1.0,1.0,0.16950733086559922,0.0341796875,0.15096880495548248
14,2,1.0,1.0,0.17508324107620865,0.0224609375,0.15421612560749054
15,0,1.0,1.0,0.06978773069567983,0.0458984375,0.11909589171409607
15,1,1.0,1.0,0.06265115179121501,0.05078125,0.1272648572921753
15,2,1.0,1.0,0.08641063841059808,0.04296875,0.12892824411392212
16,0,1.0,1.0,0.07272189157083632,0.1640625,0.10167671740055084
16,1,1.0,1.0,0.08505195286124949,0.1572265625,0.09869704395532608
16,2,1.0,1.0,0.09746954985894264,0.123046875,0.10472524166107178
17,0,1.0,1.0,0.14075800939463087,0.103515625,0.14991924166679382
17,1,1.0,1.0,0.1613909590523691,0.095703125,0.14184479415416718
17,2,1.0,1.0,0.1516241659410299,0.0986328125,0.15056529641151428
18,0,1.0,1.0,0.1203700132900849,0.107421875,0.11863471567630768
18,1,1.0,1.0,0.13039661862421784,0.076171875,0.12721499800682068
18,2,1.0,1.0,0.14592736738268286,0.044921875,0.13018473982810974
19,0,1.0,1.0,0.11487006361130625,0.0224609375,0.13818758726119995
19,1,1.0,1.0,0.11078770773019639,0.025390625,0.14036616683006287
19,2,1.0,1.0,0.10493273974861947,0.02734375,0.14401836693286896
20,0,1.0,1.0,0.09364946512505412,0.384765625,0.14800485968589783
20,1,1.0,1.0,0.08672012761235234,0.9091796875,0.14824387431144714
20,2,1.0,1.0,0.10102058527991176,0.9208984375,0.14002317190170288
21,0,1.0,1.0,0.09630944998934868,0.06640625,0.107386514544487
21,1,1.0,1.0,0.11716158734634523,0.0771484375,0.1142912209033966
21,2,1.0,1.0,0.15915697673335677,0.10546875,0.12087324261665344
22,0,1.0,1.0,0.10834024078212678,0.029296875,0.12773126363754272
22,1,1.0,1.0,0.0985835408791899,0.044921875,0.13158129155635834
22,2,1.0,1.0,0.12481709849089379,0.037109375,0.1311298906803131
23,0,1.0,1.0,0.12438556691631675,0.123046875,0.12258914858102798
23,1,1.0,1.0,0.13137983111664653,0.15234375,0.12775489687919617
23,2,1.0,1.0,0.15328346169553694,0.091796875,0.12855559587478638
24,0,1.0,1.0,0.1114823435200378,0.0830078125,0.10570569336414337
24,1,1.0,1.0,0.12462433183100072,0.115234375,0.10793285816907883
24,2,1.0,1.0,0.11163669114466751,0.125,0.11118821799755096
25,0,1.0,1.0,0.15692123142071068,0.03125,0.15433667600154877
25,1,1.0,1.0,0.12369761662557721,0.017578125,0.15911224484443665
25,2,1.0,1.0,0.14089478156529367,0.0244140625,0.1617022007703781
26,0,1.0,1.0,0.17557343095541003,0.068359375,0.15179020166397095
26,1,1.0,1.0,0.14780598506331447,0.0693359375,0.15154391527175903
26,2,1.0,1.0,0.14387397770769897,0.060546875,0.14125758409500122
27,0,1.0,1.0,0.1545958407223225,0.0390625,0.15773937106132507
27,1,1.0,1.0,0.16760001075454065,0.03515625,0.15800850093364716
27,2,1.0,1.0,0.1587651662994177,0.0400390625,0.15969190001487732
28,0,1.0,1.0,0.12917842611204836,0.0869140625,0.14438574016094208
28,1,1.0,1.0,0.16317088750656697,0.0732421875,0.1549759805202484
28,2,1.0,1.0,0.15981331851799044,0.04296875,0.156009703874588
29,0,1.0,1.0,0.1755368661833927,0.1357421875,0.1306021511554718
29,1,1.0,1.0,0.17939996474888176,0.296875,0.12015228718519211
29,2,1.0,1.0,0.1760464106919244,0.296875,0.12938469648361206
30,0,1.0,1.0,0.1851164802210406,0.2734375,0.13911236822605133
30,1,1.0,1.0,0.18139801465440547,0.1162109375,0.13453884422779083
30,2,1.0,1.0,0.2131755772279576,0.20703125,0.14250656962394714
31,0,1.0,1.0,0.20199414563830945,0.1640625,0.15032531321048737
31,1,1.0,1.0,0.18593539029825482,0.1455078125,0.14964917302131653
31,2,1.0,1.0,0.202834214665927,0.20703125,0.15220792591571808
