track,member_key,parameter,strategy,metric,delta_vs_clipped,tolerance,exceeds_tolerance
8d,member_2,g_h,rejection_in_support,rank_mean,0.003045808966861463,0.03,False
8d,member_2,g_h,rejection_in_support,bias_unit,0.0009590474267800672,0.02,False
8d,member_2,g_h,rejection_in_support,boundary_point_mass,-0.0289306640625,0.02,True
8d,member_2,c_th2ctx,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,c_th2ctx,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,c_th2ctx,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,c_th2ctx,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,c_th2ctx,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,c_th2ctx,rejection_in_support,pit_ecdf_ks,-0.010843079922027321,0.05,False
8d,member_2,c_th2ctx,rejection_in_support,central_cov_90,-0.0625,0.03,True
8d,member_2,c_th2ctx,rejection_in_support,rank_mean,0.00020305393112418635,0.03,False
8d,member_2,c_th2ctx,rejection_in_support,bias_unit,-0.0006052229243020263,0.02,False
8d,member_2,c_th2ctx,rejection_in_support,boundary_point_mass,-0.028157552083333332,0.02,True
8d,member_2,c_ctx2th,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_2,c_ctx2th,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_2,c_ctx2th,raw_preclip,rank_mean,0.0,0.03,False
8d,member_2,c_ctx2th,raw_preclip,bias_unit,0.0,0.02,False
8d,member_2,c_ctx2th,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_2,c_ctx2th,rejection_in_support,pit_ecdf_ks,-0.004629629629629761,0.05,False
8d,member_2,c_ctx2th,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_2,c_ctx2th,rejection_in_support,rank_mean,-0.0004467186484730101,0.03,False
8d,member_2,c_ctx2th,rejection_in_support,bias_unit,-0.0034198981399337445,0.02,False
8d,member_2,c_ctx2th,rejection_in_support,boundary_point_mass,-0.009480794270833334,0.02,False
8d,member_3,mue,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,mue,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,mue,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,mue,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,mue,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,mue,rejection_in_support,pit_ecdf_ks,0.01937134502923976,0.05,False
8d,member_3,mue,rejection_in_support,central_cov_90,-0.0625,0.03,True
8d,member_3,mue,rejection_in_support,rank_mean,0.01015269655620532,0.03,False
8d,member_3,mue,rejection_in_support,bias_unit,-0.00323735697505375,0.02,False
8d,member_3,mue,rejection_in_support,boundary_point_mass,-0.0631103515625,0.02,True
8d,member_3,mui,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,mui,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,mui,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,mui,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,mui,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,mui,rejection_in_support,pit_ecdf_ks,0.022782651072124738,0.05,False
8d,member_3,mui,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_3,mui,rejection_in_support,rank_mean,0.0008528265107212718,0.03,False
8d,member_3,mui,rejection_in_support,bias_unit,4.0194756972292914e-05,0.02,False
8d,member_3,mui,rejection_in_support,boundary_point_mass,-0.004150390625,0.02,False
8d,member_3,b,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,b,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,b,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,b,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,b,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,b,rejection_in_support,pit_ecdf_ks,-0.02899610136452241,0.05,False
8d,member_3,b,rejection_in_support,central_cov_90,0.02083333333333337,0.03,False
8d,member_3,b,rejection_in_support,rank_mean,0.004061078622482062,0.03,False
8d,member_3,b,rejection_in_support,bias_unit,-0.0018543626259391504,0.02,False
8d,member_3,b,rejection_in_support,boundary_point_mass,-0.031901041666666664,0.02,True
8d,member_3,tauA,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,tauA,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,tauA,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,tauA,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,tauA,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,tauA,rejection_in_support,pit_ecdf_ks,0.025950292397660835,0.05,False
8d,member_3,tauA,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_3,tauA,rejection_in_support,rank_mean,0.010883690708252125,0.03,False
8d,member_3,tauA,rejection_in_support,bias_unit,0.0022697184855739252,0.02,False
8d,member_3,tauA,rejection_in_support,boundary_point_mass,-0.05668131510416667,0.02,True
8d,member_3,g_LK,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,g_LK,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,g_LK,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,g_LK,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,g_LK,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,g_LK,rejection_in_support,pit_ecdf_ks,-0.001340155945419086,0.05,False
8d,member_3,g_LK,rejection_in_support,central_cov_90,-0.02083333333333337,0.03,False
8d,member_3,g_LK,rejection_in_support,rank_mean,0.017056530214424992,0.03,False
8d,member_3,g_LK,rejection_in_support,bias_unit,-0.009598058726017673,0.02,False
8d,member_3,g_LK,rejection_in_support,boundary_point_mass,-0.0399169921875,0.02,True
8d,member_3,g_h,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,g_h,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,g_h,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,g_h,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,g_h,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,g_h,rejection_in_support,pit_ecdf_ks,0.03143274853801159,0.05,False
8d,member_3,g_h,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
8d,member_3,g_h,rejection_in_support,rank_mean,0.007959714100065018,0.03,False
8d,member_3,g_h,rejection_in_support,bias_unit,-0.0020935425224403535,0.02,False
8d,member_3,g_h,rejection_in_support,boundary_point_mass,-0.025472005208333332,0.02,True
8d,member_3,c_th2ctx,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,c_th2ctx,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,c_th2ctx,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,c_th2ctx,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,c_th2ctx,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,c_th2ctx,rejection_in_support,pit_ecdf_ks,-0.001340155945419086,0.05,False
8d,member_3,c_th2ctx,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
8d,member_3,c_th2ctx,rejection_in_support,rank_mean,0.009624756335282592,0.03,False
8d,member_3,c_th2ctx,rejection_in_support,bias_unit,-0.002734195441007614,0.02,False
8d,member_3,c_th2ctx,rejection_in_support,boundary_point_mass,-0.035115559895833336,0.02,True
8d,member_3,c_ctx2th,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_3,c_ctx2th,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_3,c_ctx2th,raw_preclip,rank_mean,0.0,0.03,False
8d,member_3,c_ctx2th,raw_preclip,bias_unit,0.0,0.02,False
8d,member_3,c_ctx2th,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_3,c_ctx2th,rejection_in_support,pit_ecdf_ks,-0.002192982456140413,0.05,False
8d,member_3,c_ctx2th,rejection_in_support,central_cov_90,0.0,0.03,False
8d,member_3,c_ctx2th,rejection_in_support,rank_mean,-5.551115123125783e-17,0.03,False
8d,member_3,c_ctx2th,rejection_in_support,bias_unit,-0.0013734061891833942,0.02,False
8d,member_3,c_ctx2th,rejection_in_support,boundary_point_mass,-0.008626302083333334,0.02,False
8d,member_4,mue,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,mue,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,mue,raw_preclip,rank_mean,0.0,0.03,False
8d,member_4,mue,raw_preclip,bias_unit,0.0,0.02,False
8d,member_4,mue,raw_preclip,boundary_point_mass,0.0,0.02,False
8d,member_4,mue,rejection_in_support,pit_ecdf_ks,0.0403265107212476,0.05,False
8d,member_4,mue,rejection_in_support,central_cov_90,-0.04166666666666663,0.03,True
8d,member_4,mue,rejection_in_support,rank_mean,0.028062053281351584,0.03,False
8d,member_4,mue,rejection_in_support,bias_unit,-0.013388524181209505,0.02,False
8d,member_4,mue,rejection_in_support,boundary_point_mass,-0.075439453125,0.02,True
8d,member_4,mui,raw_preclip,pit_ecdf_ks,0.0,0.05,False
8d,member_4,mui,raw_preclip,central_cov_90,0.0,0.03,False
8d,member_4,mui,raw_preclip,rank_mean,0.0,0.03,False
