track,n_train,estimator,parameter,n_cases,n_posterior_samples_per_case,rank_mean,rank_var,tail_low_005,tail_high_095,pit_ecdf_ks,pit_ecdf_ks_pvalue,central_cov_50,central_cov_80,central_cov_90,central_cov_95,bias_unit,mae_unit,mean_posterior_std,is_focus,framing,ranks_npz_sha256
8d,32768,ensemble,c_ctx2th,1024,1000,0.4986546656468531,0.0840497577141014,0.0556640625,0.0546875,0.012775310626873093,0.9954907521832057,0.5,0.7939453125,0.8896484375,0.939453125,0.0008941287505876971,0.2503202850330126,0.28694049461046234,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,mue,1024,1000,0.5203917176573426,0.10363012984414448,0.0791015625,0.0927734375,0.0855862887112887,5.647349870452476e-07,0.4072265625,0.69921875,0.828125,0.904296875,-0.016634085523037356,0.14772021449425665,0.14595845350231684,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,mui,1024,1000,0.6744525006243756,0.04515400021418701,0.0107421875,0.044921875,0.307943033528971,1.0248449691112907e-86,0.5166015625,0.8583984375,0.9443359375,0.9755859375,-0.0050728605251606496,0.008349082136646757,0.018385189681339398,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,b,1024,1000,0.5098836710164835,0.0891561707383847,0.060546875,0.0615234375,0.03679133366633369,0.12196481184413366,0.4794921875,0.7646484375,0.8779296875,0.9404296875,-0.0034935352741740644,0.09837701373908203,0.12037493943353184,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,tauA,1024,1000,0.5252111170079921,0.10256464966933886,0.0751953125,0.095703125,0.07803134365634368,7.1870543162326936e-06,0.408203125,0.703125,0.8291015625,0.890625,-0.022252802777074976,0.18902257946683676,0.1887115189801989,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,g_LK,1024,1000,0.4994712318931069,0.09450464315049648,0.0576171875,0.0771484375,0.03942834509240756,0.08066652264550189,0.44921875,0.7470703125,0.865234375,0.9208984375,0.028055011523974827,0.15183399306988576,0.17327213941280206,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,g_h,1024,1000,0.499068314498002,0.08625999819189363,0.0673828125,0.0537109375,0.02363456855644356,0.6079359850511298,0.4931640625,0.787109375,0.87890625,0.93359375,0.022203155951501685,0.15414966126081708,0.19912572662724415,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,c_th2ctx,1024,1000,0.5008019324425574,0.10127463991702529,0.0703125,0.08203125,0.05571674419330669,0.0033300729888999505,0.4130859375,0.7138671875,0.84765625,0.9091796875,-0.04760718960460508,0.1591747865677462,0.17475288121568155,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_1,c_ctx2th,1024,1000,0.5000019511738262,0.08459648391768829,0.052734375,0.0546875,0.013120668394105917,0.9936420699461564,0.5009765625,0.7919921875,0.892578125,0.935546875,-0.002891395213737269,0.2506477424449258,0.2864085798646556,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,mue,1024,1000,0.5168464348151849,0.10098689185635047,0.0810546875,0.087890625,0.0714880822302697,5.377925671441029e-05,0.4228515625,0.6953125,0.8310546875,0.904296875,-0.013236332682936336,0.14735216959707031,0.148818529502023,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,mui,1024,1000,0.6584792160964036,0.044431171998009826,0.009765625,0.04296875,0.296224283528971,3.854979352410479e-80,0.5712890625,0.8662109375,0.947265625,0.9755859375,-0.004185595915714657,0.0069082897748558025,0.013170627562885784,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,b,1024,1000,0.5018936141983017,0.08602201639615506,0.056640625,0.0576171875,0.01615962162837159,0.9479517991372289,0.4873046875,0.7822265625,0.8857421875,0.93359375,0.0022289091702987207,0.09225906770552683,0.11292273398248653,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,tauA,1024,1000,0.5220258257367633,0.10089265012701124,0.080078125,0.0859375,0.0752031171953047,1.752934866197987e-05,0.412109375,0.7119140625,0.833984375,0.89453125,-0.016583855123826652,0.18687651799154992,0.18960320827136457,True,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,g_LK,1024,1000,0.49856393606393606,0.08893090361182386,0.052734375,0.06640625,0.025138923576423555,0.5286135016284306,0.482421875,0.771484375,0.880859375,0.931640625,0.025132822171144653,0.1512059315573424,0.1739938802747929,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
8d,32768,member_2,g_h,1024,1000,0.5029423701298701,0.0886334293929265,0.06640625,0.064453125,0.02149413086913088,0.7229573704310428,0.482421875,0.7802734375,0.869140625,0.927734375,0.020389369665281265,0.14824715659597132,0.18526236958496156,False,protocol-locked hypothesis-driven follow-up on reused diagnostic bank,8205980e5fb61e2500ea1ed26c4d04d633bc8946f361f971e08e61c84ccde8b6
