track,member_key,parameter,mean_z,var_z,n_cases,mean_cond,chol_failures,cov_z_frobenius_to_I
7d,member_1,b,-0.11532061837417283,0.8454875845526164,48,290.47715914185375,0,1.5183059095066587
7d,member_1,tauA,0.022424175622362413,0.29102839673133507,48,290.47715914185375,0,1.5183059095066587
7d,member_1,g_LK,0.15214993201889024,0.5433760571393886,48,290.47715914185375,0,1.5183059095066587
7d,member_1,g_h,0.06393727282074821,1.3892298318015117,48,290.47715914185375,0,1.5183059095066587
7d,member_1,c_th2ctx,-0.09906276395852641,0.7467781106940555,48,290.47715914185375,0,1.5183059095066587
7d,member_2,mue,0.12302336206644106,0.8683159216415638,48,447.7706506885076,0,1.498452445134095
7d,member_2,mui,-0.22969845178475412,0.10103993459773453,48,447.7706506885076,0,1.498452445134095
7d,member_2,b,-0.059185049542955115,0.9299272473372305,48,447.7706506885076,0,1.498452445134095
7d,member_2,tauA,0.20958617331158533,0.3136680098398362,48,447.7706506885076,0,1.498452445134095
7d,member_2,g_LK,0.16811801940610316,0.5311404635485124,48,447.7706506885076,0,1.498452445134095
7d,member_2,g_h,0.07574001854786314,1.2412232642201753,48,447.7706506885076,0,1.498452445134095
7d,member_2,c_th2ctx,-0.08961877042087918,0.6139787283825343,48,447.7706506885076,0,1.498452445134095
7d,member_3,mue,0.15823570682231322,0.8724657439679997,48,303.8020820645523,0,1.4527903882921127
7d,member_3,mui,-0.2237332310897803,0.11073135489363706,48,303.8020820645523,0,1.4527903882921127
7d,member_3,b,0.03839276694553355,0.8559102465368799,48,303.8020820645523,0,1.4527903882921127
7d,member_3,tauA,0.26907225033690707,0.32509254055547526,48,303.8020820645523,0,1.4527903882921127
7d,member_3,g_LK,0.1674892349229394,0.6070150206978169,48,303.8020820645523,0,1.4527903882921127
7d,member_3,g_h,0.006643926157838045,1.2504107263958197,48,303.8020820645523,0,1.4527903882921127
7d,member_3,c_th2ctx,-0.08349665572133928,0.7511469476018032,48,303.8020820645523,0,1.4527903882921127
7d,member_4,mue,0.1573750032727094,0.9417184949314722,48,337.4257369940672,0,1.499065871290969
7d,member_4,mui,-0.20621059973533665,0.14985076225495045,48,337.4257369940672,0,1.499065871290969
7d,member_4,b,-0.1094716629361401,0.9341832668518887,48,337.4257369940672,0,1.499065871290969
7d,member_4,tauA,0.03937307210923396,0.25779396591002746,48,337.4257369940672,0,1.499065871290969
7d,member_4,g_LK,0.1899917565389819,0.5899764756886939,48,337.4257369940672,0,1.499065871290969
7d,member_4,g_h,0.05530460881479544,1.3217092779728226,48,337.4257369940672,0,1.499065871290969
7d,member_4,c_th2ctx,-0.02016854561427445,0.830468239907447,48,337.4257369940672,0,1.499065871290969
7d,member_5,mue,0.11992628109908356,0.8752228724447356,48,299.3193726691581,0,1.4654866413520906
7d,member_5,mui,0.1488698844090303,0.11970380015456387,48,299.3193726691581,0,1.4654866413520906
7d,member_5,b,-0.005935450411982249,0.9577623163105174,48,299.3193726691581,0,1.4654866413520906
7d,member_5,tauA,0.3224671826638557,0.3378468062260478,48,299.3193726691581,0,1.4654866413520906
7d,member_5,g_LK,0.12537294194651882,0.5906432158192275,48,299.3193726691581,0,1.4654866413520906
7d,member_5,g_h,0.11148551353425112,1.231351245087206,48,299.3193726691581,0,1.4654866413520906
7d,member_5,c_th2ctx,-0.05752352134028601,0.818426735474468,48,299.3193726691581,0,1.4654866413520906
7d,ensemble,mue,0.1321320724896565,0.8546521114096887,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,mui,-0.0697183722025597,0.07256089030935617,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,b,-0.057774345119311066,0.7894277405541618,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,tauA,0.19939582661950048,0.24636101340456362,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,g_LK,0.15765184433163124,0.5126600163620664,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,g_h,0.058873835907565904,1.1776475607064034,48,264.4176993916883,0,1.5179235379661336
7d,ensemble,c_th2ctx,-0.07812455917122564,0.6398896288036656,48,264.4176993916883,0,1.5179235379661336
