track,member_key,strategy,parameter,n_cases,rank_mean,pit_ecdf_ks,central_cov_90,central_cov_95,bias_unit,mean_lower_leak,mean_upper_leak,boundary_point_mass,mean_accept_rate
8d,member_3,rejection_in_support,c_th2ctx,48,0.5487735542560104,0.170687134502924,0.875,0.9375,-0.06238477684867879,0.012532552083333334,0.0225830078125,0.0,0.7807210286458334
8d,member_3,rejection_in_support,c_ctx2th,48,0.49914717348927873,0.08942495126705652,0.9375,0.9791666666666666,0.0011634920180464785,0.0033772786458333335,0.0052490234375,0.0,0.7807210286458334
8d,member_4,raw_preclip,mue,48,0.5512914230019493,0.14766081871345033,0.9375,0.9791666666666666,-0.03891214860292772,0.030598958333333332,0.044840494791666664,0.075439453125,1.0
8d,member_4,raw_preclip,mui,48,0.5999025341130605,0.2943469785575049,0.9583333333333334,0.9583333333333334,-0.003261913855870565,0.0030924479166666665,0.003173828125,0.006266276041666667,1.0
8d,member_4,raw_preclip,b,48,0.4544346978557505,0.14193469785575052,0.875,0.9791666666666666,0.024340568343177438,0.016764322916666668,0.038492838541666664,0.055257161458333336,1.0
8d,member_4,raw_preclip,tauA,48,0.565017868745939,0.16106237816764135,0.8958333333333334,0.9791666666666666,-0.06111140463811656,0.022664388020833332,0.059488932291666664,0.0821533203125,1.0
8d,member_4,raw_preclip,g_LK,48,0.5784600389863548,0.221369395711501,0.9375,0.9583333333333334,-0.0077515216544270515,0.019571940104166668,0.022379557291666668,0.041951497395833336,1.0
8d,member_4,raw_preclip,g_h,48,0.5441845354126056,0.18981481481481483,0.8333333333333334,0.9166666666666666,0.011608651819794128,0.013224283854166666,0.020955403645833332,0.034220377604166664,1.0
8d,member_4,raw_preclip,c_th2ctx,48,0.5281432748538012,0.15557992202729048,0.9166666666666666,1.0,-0.060666079710548125,0.0084228515625,0.025716145833333332,0.034138997395833336,1.0
8d,member_4,raw_preclip,c_ctx2th,48,0.4949236517218974,0.07943469785575047,0.9375,0.9791666666666666,0.008309905456068615,0.008544921875,0.013875325520833334,0.0224609375,1.0
8d,member_4,clipped,mue,48,0.5512914230019493,0.14766081871345033,0.9375,0.9791666666666666,-0.03891214860292772,0.030598958333333332,0.044840494791666664,0.075439453125,1.0
8d,member_4,clipped,mui,48,0.5999025341130605,0.2943469785575049,0.9583333333333334,0.9583333333333334,-0.003261913855870565,0.0030924479166666665,0.003173828125,0.006266276041666667,1.0
8d,member_4,clipped,b,48,0.4544346978557505,0.14193469785575052,0.875,0.9791666666666666,0.024340568343177438,0.016764322916666668,0.038492838541666664,0.055257161458333336,1.0
8d,member_4,clipped,tauA,48,0.565017868745939,0.16106237816764135,0.8958333333333334,0.9791666666666666,-0.06111140463811656,0.022664388020833332,0.059488932291666664,0.0821533203125,1.0
8d,member_4,clipped,g_LK,48,0.5784600389863548,0.221369395711501,0.9375,0.9583333333333334,-0.0077515216544270515,0.019571940104166668,0.022379557291666668,0.041951497395833336,1.0
8d,member_4,clipped,g_h,48,0.5441845354126056,0.18981481481481483,0.8333333333333334,0.9166666666666666,0.011608651819794128,0.013224283854166666,0.020955403645833332,0.034220377604166664,1.0
8d,member_4,clipped,c_th2ctx,48,0.5281432748538012,0.15557992202729048,0.9166666666666666,1.0,-0.060666079710548125,0.0084228515625,0.025716145833333332,0.034138997395833336,1.0
8d,member_4,clipped,c_ctx2th,48,0.4949236517218974,0.07943469785575047,0.9375,0.9791666666666666,0.008309905456068615,0.008544921875,0.013875325520833334,0.0224609375,1.0
8d,member_4,rejection_in_support,mue,48,0.5793534762833009,0.18798732943469793,0.8958333333333334,0.9166666666666666,-0.05230067278413723,0.030598958333333332,0.044840494791666664,0.0,0.719482421875
8d,member_4,rejection_in_support,mui,48,0.6058317089018844,0.2714424951267057,0.9583333333333334,0.9583333333333334,-0.0033194351320465407,0.0030924479166666665,0.003173828125,0.0,0.719482421875
8d,member_4,rejection_in_support,b,48,0.4623131903833659,0.12548732943469781,0.8541666666666666,0.9375,0.01973595571083327,0.016764322916666668,0.038492838541666664,0.0,0.719482421875
8d,member_4,rejection_in_support,tauA,48,0.5907651072124757,0.23391812865497075,0.8333333333333334,0.875,-0.07326204849717517,0.022664388020833332,0.059488932291666664,0.0,0.719482421875
8d,member_4,rejection_in_support,g_LK,48,0.5944606887589344,0.21600877192982454,0.8541666666666666,0.9166666666666666,-0.012563916544119516,0.019571940104166668,0.022379557291666668,0.0,0.719482421875
8d,member_4,rejection_in_support,g_h,48,0.5559210526315789,0.18128654970760238,0.75,0.8541666666666666,0.009105669625569135,0.013224283854166666,0.020955403645833332,8.138020833333333e-05,0.719482421875
8d,member_4,rejection_in_support,c_th2ctx,48,0.5452404158544509,0.17958089668615984,0.8333333333333334,0.9166666666666666,-0.06540352765781184,0.0084228515625,0.025716145833333332,0.0,0.719482421875
8d,member_4,rejection_in_support,c_ctx2th,48,0.4950454840805718,0.09198343079922022,0.9375,0.9375,0.0035103435705726347,0.008544921875,0.013875325520833334,0.0,0.719482421875
8d,member_5,raw_preclip,mue,48,0.5368745938921378,0.10623781676413258,0.9583333333333334,1.0,-0.030469011321353417,0.035888671875,0.044352213541666664,0.08028157552083333,1.0
8d,member_5,raw_preclip,mui,48,0.264091942820013,0.42434210526315785,0.9166666666666666,0.9583333333333334,0.007889898687911531,0.0027669270833333335,0.0030517578125,0.005818684895833333,1.0
8d,member_5,raw_preclip,b,48,0.4492365172189734,0.16544834307992207,0.875,1.0,0.024640791700221598,0.0194091796875,0.036661783854166664,0.056070963541666664,1.0
8d,member_5,raw_preclip,tauA,48,0.5611192332683561,0.12694931773879148,0.9166666666666666,0.9791666666666666,-0.05031850545977553,0.017862955729166668,0.049845377604166664,0.06770833333333333,1.0
8d,member_5,raw_preclip,g_LK,48,0.5458495776478233,0.16946881091617935,0.9166666666666666,1.0,0.017553593420113128,0.036946614583333336,0.025146484375,0.062093098958333336,1.0
8d,member_5,raw_preclip,g_h,48,0.5443875893437298,0.14498050682261215,0.875,0.9375,0.011609113755791137,0.010782877604166666,0.018107096354166668,0.0289306640625,1.0
8d,member_5,raw_preclip,c_th2ctx,48,0.5373213125406108,0.18884015594541909,0.8958333333333334,1.0,-0.07155331092265745,0.011311848958333334,0.021240234375,0.032552083333333336,1.0
8d,member_5,raw_preclip,c_ctx2th,48,0.5017868745938922,0.08077485380116961,0.9375,0.9583333333333334,-0.003778753763375183,0.009236653645833334,0.013875325520833334,0.023111979166666668,1.0
8d,member_5,clipped,mue,48,0.5368745938921378,0.10623781676413258,0.9583333333333334,1.0,-0.030469011321353417,0.035888671875,0.044352213541666664,0.08028157552083333,1.0
8d,member_5,clipped,mui,48,0.264091942820013,0.42434210526315785,0.9166666666666666,0.9583333333333334,0.007889898687911531,0.0027669270833333335,0.0030517578125,0.005818684895833333,1.0
8d,member_5,clipped,b,48,0.4492365172189734,0.16544834307992207,0.875,1.0,0.024640791700221598,0.0194091796875,0.036661783854166664,0.056070963541666664,1.0
8d,member_5,clipped,tauA,48,0.5611192332683561,0.12694931773879148,0.9166666666666666,0.9791666666666666,-0.05031850545977553,0.017862955729166668,0.049845377604166664,0.06770833333333333,1.0
8d,member_5,clipped,g_LK,48,0.5458495776478233,0.16946881091617935,0.9166666666666666,1.0,0.017553593420113128,0.036946614583333336,0.025146484375,0.062093098958333336,1.0
