center,scale,parameter,seed_a,seed_b,direction_cosine
v8a_local_best,0.01,mui,1103,2207,0.1416796269713238
v8a_local_best,0.01,mui,1103,3301,0.07665992342647691
v8a_local_best,0.01,mui,2207,3301,-0.36511502036904714
v8a_local_best,0.01,b,1103,2207,-0.2010287037749006
v8a_local_best,0.01,b,1103,3301,0.6714707369854814
v8a_local_best,0.01,b,2207,3301,-0.09512636707376822
v8a_local_best,0.01,tauA,1103,2207,0.2412847134866127
v8a_local_best,0.01,tauA,1103,3301,-0.6256979413819969
v8a_local_best,0.01,tauA,2207,3301,0.5153593565768493
v8a_local_best,0.01,g_LK,1103,2207,0.7359379561716365
v8a_local_best,0.01,g_LK,1103,3301,-0.598684218004256
v8a_local_best,0.01,g_LK,2207,3301,-0.5898248491934844
v8a_local_best,0.01,g_h,1103,2207,0.619794894740038
v8a_local_best,0.01,g_h,1103,3301,0.2286147422411721
v8a_local_best,0.01,g_h,2207,3301,0.1794614001097404
v8a_local_best,0.01,c_th2ctx,1103,2207,0.7424154076849783
v8a_local_best,0.01,c_th2ctx,1103,3301,0.6008828228240629
v8a_local_best,0.01,c_th2ctx,2207,3301,0.07930210774050349
v8a_local_best,0.01,c_ctx2th,1103,2207,0.661473734295275
v8a_local_best,0.01,c_ctx2th,1103,3301,-0.5769144046020395
v8a_local_best,0.01,c_ctx2th,2207,3301,-0.856679134780537
v8a_local_best,0.02,mue,1103,2207,-0.227389327970697
v8a_local_best,0.02,mue,1103,3301,0.05464395043606803
v8a_local_best,0.02,mue,2207,3301,-0.22405262805437082
v8a_local_best,0.02,mui,1103,2207,0.9781563859096285
v8a_local_best,0.02,mui,1103,3301,0.3743735979755391
v8a_local_best,0.02,mui,2207,3301,0.3984797311841216
v8a_local_best,0.02,b,1103,2207,0.16602386216344656
v8a_local_best,0.02,b,1103,3301,0.5866706778684851
v8a_local_best,0.02,b,2207,3301,0.4495985144994996
v8a_local_best,0.02,tauA,1103,2207,0.5030819600300365
v8a_local_best,0.02,tauA,1103,3301,-0.04558770757722223
