i,j,k,g_LK,g_h,c_ctx2th,sp_peak_power_log,sp_env_cv,n_events_raw,n_events_valid,n_events_verified,mean_event_dur,pac_mi,ctx_min,ctx_max,ctx_ibi_cv,ctx_n_bursts,ok,fail_reason
12,4,2,0.08857142857142858,0.04285714285714286,0.11000000000000001,0.0,0.5229957945893173,18,18,2,0.5835,0.0005726862205366936,7.065908430470425e-11,64.61483377867364,0.40814862191113094,54,True,
12,4,3,0.08857142857142858,0.04285714285714286,0.155,0.08451110580322377,0.5278559498585554,17,17,0,0.7554117647058823,0.00027973726309728366,4.7334827518474954e-11,66.27445662626653,0.5122860156924763,58,True,
12,4,4,0.08857142857142858,0.04285714285714286,0.2,0.020098146811271037,0.564415817294815,19,19,0,0.5317894736842106,0.0008490836496813827,2.8455985136814087e-11,64.96708290760874,0.37320416757096764,52,True,
12,5,0,0.08857142857142858,0.04857142857142857,0.02,0.17209333639343077,0.5139208488056867,18,18,0,0.7231666666666667,0.0008809625588036426,5.2536350823878604e-11,63.887439662411616,0.5930057847389296,65,True,
12,5,1,0.08857142857142858,0.04857142857142857,0.065,0.10748238455101353,0.5320323446803015,22,22,5,0.6058636363636364,0.0006812556606029415,3.083597507227036e-11,63.56652572071446,0.38936338350079885,52,True,
12,5,2,0.08857142857142858,0.04857142857142857,0.11000000000000001,0.0895039370871968,0.5198814044138778,18,18,2,0.7033333333333333,0.0008733358238615699,2.8617595595713006e-11,64.77908564751918,0.47816000906498407,57,True,
12,5,3,0.08857142857142858,0.04857142857142857,0.155,0.015913055920092074,0.5565392422091731,19,19,2,0.6821578947368421,0.0016961230693072196,4.794401338934386e-11,63.84585577797125,0.39418027606258393,53,True,
12,5,4,0.08857142857142858,0.04857142857142857,0.2,0.11850341527123645,0.5237708978644275,20,20,2,0.64825,0.002151814604996956,3.748214248161758e-11,64.71104921192479,0.5002241729947353,57,True,
12,6,0,0.08857142857142858,0.054285714285714284,0.02,0.3482454226007439,0.5372587250061293,14,14,2,0.7557857142857144,0.0005755387949155546,6.550658462413042e-11,63.69946884305035,0.4253135704437203,54,True,
12,6,1,0.08857142857142858,0.054285714285714284,0.065,0.1929950825471957,0.5282663579988229,20,20,4,0.65065,0.0011605433630311572,7.298871879619414e-11,63.925980685265074,0.40027334323042,54,True,
12,6,2,0.08857142857142858,0.054285714285714284,0.11000000000000001,0.319870819463785,0.49035378654510564,19,19,2,0.6277368421052631,0.0005080048404597203,2.8766381340724104e-11,64.13833021381966,0.5152070769408896,60,True,
12,6,3,0.08857142857142858,0.054285714285714284,0.155,0.23311856642114995,0.5342344840608113,20,20,2,0.6259500000000001,0.0013709917161239486,7.700324189934603e-11,63.54129436487137,0.4541607929965955,56,True,
12,6,4,0.08857142857142858,0.054285714285714284,0.2,0.19376278322250864,0.5357272369944096,18,18,3,0.7072222222222222,0.0010586547971482663,5.0462493200316976e-11,63.72343680470563,0.584596343037329,64,True,
12,7,0,0.08857142857142858,0.06,0.02,0.2831504574952118,0.5064491663525066,19,19,3,0.6301578947368421,0.0007995480935232196,6.748810894421019e-11,65.8955767227485,0.3424262105449722,51,True,
12,7,1,0.08857142857142858,0.06,0.065,0.3298932647276178,0.5182236403227063,19,19,3,0.6855789473684211,0.0010922687678278846,3.71202619194087e-11,64.797238867095,0.2766033289343884,48,True,
12,7,2,0.08857142857142858,0.06,0.11000000000000001,0.37101825395083726,0.5321480351834796,21,21,4,0.6215714285714287,0.0006619639008197562,5.4228899859983074e-11,64.584959269112,0.4585224090859836,55,True,
12,7,3,0.08857142857142858,0.06,0.155,0.33133713052495867,0.4950838162167538,15,15,4,0.8018666666666667,0.00020635861587580429,5.142908559399644e-11,63.86081546065607,0.48366105727216296,58,True,
12,7,4,0.08857142857142858,0.06,0.2,0.24223088718265554,0.5170202294273609,18,18,5,0.7187777777777777,0.0011641260440903851,6.248915233967581e-11,65.01143247090572,0.42588661841638287,54,True,
12,8,0,0.08857142857142858,0.06571428571428571,0.02,0.4036106516547208,0.5295133719833245,16,16,6,0.7821875,0.00131058463462319,4.1037842992885914e-11,64.58509816797645,0.44085317799059975,54,True,
12,8,1,0.08857142857142858,0.06571428571428571,0.065,0.30180533586960107,0.5016122841964309,22,22,9,0.5875454545454546,0.0007356812101342547,4.0088317833187286e-11,63.19125437705272,0.5277843492100619,59,True,
12,8,2,0.08857142857142858,0.06571428571428571,0.11000000000000001,0.3259136327932726,0.52296460828032,16,16,5,0.7913125000000001,0.0008568114377434942,2.241596943656159e-11,64.72202595431273,0.40046262449407916,53,True,
