eval,score,failed_constraint,c_th2ctx,c_ctx2th,T4_q,T6_ibi_cv,T8_n_sp_events,T12_n_verified,T13_n_ctx_events,T13_n_ctx_verified,T13_ctx_verified_density_per_min,shape_r,so_power,thal_spindle_power,ctx_spindle_power
4175,-0.769231,T13,0.0324674763297994,0.1356395930051583,2.966,0.389,19,9,0,0,0.0,0.0,0.0,0.0,0.0
4185,-0.769231,T13,0.0285039708072579,0.0773510813769529,2.972,0.348,19,14,2,0,0.0,0.0,0.0,0.0,0.0
4267,-0.769231,T13,0.0344521457350914,0.1493897574143754,3.048,0.395,22,12,5,0,0.0,0.0,0.0,0.0,0.0
4287,-0.769231,T13,0.029982733746467,0.1805586919658994,2.18,0.386,17,15,1,0,0.0,0.0,0.0,0.0,0.0
4299,-0.769231,T13,0.0250867537356956,0.1321022486943776,3.711,0.393,23,20,0,0,0.0,0.0,0.0,0.0,0.0
4301,-0.769231,T13,0.0269098086859379,0.1532077264863691,2.58,0.397,19,14,0,0,0.0,0.0,0.0,0.0,0.0
4544,-0.769231,T13,0.0314094625245603,0.1017826763067497,3.319,0.392,26,25,3,0,0.0,0.0,0.0,0.0,0.0
4545,-0.769231,T13,0.0298643749461934,0.1627527976449691,2.815,0.381,22,16,1,0,0.0,0.0,0.0,0.0,0.0
4557,-0.769231,T13,0.0328414625888113,0.1132490709439079,2.606,0.394,24,12,2,0,0.0,0.0,0.0,0.0,0.0
4568,-0.769231,T13,0.0096559147052729,0.1250763767150129,4.054,0.377,18,18,0,0,0.0,0.0,0.0,0.0,0.0
4577,-0.769231,T13,0.0261334082205288,0.2067994746353363,2.661,0.399,15,14,1,0,0.0,0.0,0.0,0.0,0.0
4621,-0.769231,T13,0.0218105196763076,0.1743985482571818,3.337,0.364,25,11,1,0,0.0,0.0,0.0,0.0,0.0
4628,-0.769231,T13,0.019851122937012,0.0753286788054914,2.541,0.387,15,13,1,0,0.0,0.0,0.0,0.0,0.0
4640,-0.769231,T13,0.0299366519326225,0.1877675195012724,3.675,0.368,21,18,1,0,0.0,0.0,0.0,0.0,0.0
4703,-0.769231,T13,0.0259062096763758,0.1227158935901906,2.788,0.366,19,19,1,0,0.0,0.0,0.0,0.0,0.0
4763,-0.769231,T13,0.0127437471880482,0.1479830751338736,2.3,0.399,17,8,0,0,0.0,0.0,0.0,0.0,0.0
4781,-0.769231,T13,0.0218105196763076,0.1311306524061451,3.291,0.354,23,20,1,0,0.0,0.0,0.0,0.0,0.0
4782,-0.769231,T13,0.0195761214876783,0.0961213611690702,3.725,0.363,19,12,0,0,0.0,0.0,0.0,0.0,0.0
4839,-0.769231,T13,0.0150790338923822,0.089499581741899,2.209,0.375,27,23,0,0,0.0,0.0,0.0,0.0,0.0
4841,-0.769231,T13,0.0366209366577721,0.1292738076339675,2.082,0.397,26,11,2,0,0.0,0.0,0.0,0.0,0.0
4881,-0.769231,T13,0.0167392056614775,0.0832488069590561,3.916,0.35,22,20,2,0,0.0,0.0,0.0,0.0,0.0
4905,-0.769231,T13,0.026838195332284,0.0700173293655402,2.839,0.389,20,20,2,0,0.0,0.0,0.0,0.0,0.0
