seed,segment,time_end_s,applied_command_mV_per_ms,measurement,setpoint,normalized_error
44017,28,58.0,0.007866417006124221,1.384165817811798,1.177282590583944,-0.17572945432348394
44017,29,60.0,0.005877415774141563,1.3888126532583445,1.177282590583944,-0.17967654016651985
44017,30,62.0,0.0040239328018814345,1.3900116215244473,1.177282590583944,-0.18069496027711385
44017,31,64.0,0.010117322687263024,1.2353247687414386,1.177282590583944,-0.04930182321706226
44017,32,65.0,0.05,0.03524382768571489,1.177282590583944,0.9700634087621786
55021,0,2.0,0.0,,0.9859990172559954,
55021,1,4.0,0.0,,0.9859990172559954,
55021,2,6.0,0.0,,0.9859990172559954,
55021,3,8.0,0.0,,0.9859990172559954,
55021,4,10.0,0.0,1.7819497360905951,0.9859990172559954,-0.8072530549266732
55021,5,12.0,0.0,1.3439281482868204,0.9859990172559954,-0.36301165089082005
55021,6,14.0,0.0,1.205717782350584,0.9859990172559954,-0.22283872625558912
55021,7,16.0,0.0,1.1486197455071239,0.9859990172559954,-0.16492990906187405
55021,8,18.0,0.0,1.1462319095380875,0.9859990172559954,-0.16250816631442017
55021,9,20.0,0.04119898321412767,0.02813088574639213,0.9859990172559954,0.9714696614762564
55021,10,22.0,0.0,1.2494752217159715,0.9859990172559954,-0.2672175122377122
55021,11,24.0,0.0,1.2681750823209477,0.9859990172559954,-0.2861829070075947
55021,12,26.0,0.0,1.274190041765953,0.9859990172559954,-0.2922832776365076
55021,13,28.0,0.0,1.2717156453330982,0.9859990172559954,-0.2897737452844967
55021,14,30.0,0.0,1.2081043157019746,0.9859990172559954,-0.22525914788849527
55021,15,32.0,0.03703794372972386,0.05050893181489389,0.9859990172559954,0.9487738517676633
55021,16,34.0,0.0,1.2278251473000021,0.9859990172559954,-0.24526001122901864
55021,17,36.0,0.0,1.2477642563969233,0.9859990172559954,-0.2654822515639138
55021,18,38.0,0.0,1.25439783817621,0.9859990172559954,-0.27221002883670226
55021,19,40.0,0.0,1.2554048432931768,0.9859990172559954,-0.2732313332186978
55021,20,42.0,0.0,1.4062793238628053,0.9859990172559954,-0.42624820030392824
55021,21,44.0,0.0,1.1160490461219295,0.9859990172559954,-0.13189671246109277
55021,22,46.0,0.0,1.1377878204316112,0.9859990172559954,-0.15394417288370058
55021,23,48.0,0.0,1.1425725075389552,0.9859990172559954,-0.15879680156142448
55021,24,50.0,0.0,1.3107828321808748,0.9859990172559954,-0.3293956781303319
55021,25,52.0,0.0,1.1488248099583467,0.9859990172559954,-0.16513788538602242
55021,26,54.0,0.0,1.1716809262953702,0.9859990172559954,-0.18831855386237792
55021,27,56.0,0.0,1.1769694265214494,0.9859990172559954,-0.19368214970124287
55021,28,58.0,0.0,1.1766314752846299,0.9859990172559954,-0.19333939962654192
55021,29,60.0,0.038663837826171124,0.023879857288970918,0.9859990172559954,0.9757810536612624
55021,30,62.0,0.0,1.1249426673559655,0.9859990172559954,-0.14091662128289537
55021,31,64.0,0.0,1.1622874481946215,0.9859990172559954,-0.17879169030941972
55021,32,65.0,0.0,1.1646643787700068,0.9859990172559954,-0.1812023728088813
66029,0,2.0,0.0,,1.1310055082132127,
66029,1,4.0,0.0,,1.1310055082132127,
66029,2,6.0,0.0,,1.1310055082132127,
66029,3,8.0,0.0,,1.1310055082132127,
66029,4,10.0,0.05,0.04363029521479043,1.1310055082132127,0.9614234458648052
66029,5,12.0,0.034589666982184936,0.660637800086963,1.1310055082132127,0.4158845423037301
66029,6,14.0,0.0029168681697978524,1.3348595828705014,1.1310055082132127,-0.18024145167899483
66029,7,16.0,0.0034833962963205837,1.2904361381912908,1.1310055082132127,-0.14096361938143884
66029,8,18.0,0.001784206032978784,1.2959960267282835,1.1310055082132127,-0.1458795004241195
66029,9,20.0,0.0005351155410894912,1.2921401844988882,1.1310055082132127,-0.14247028428733266
66029,10,22.0,0.05,0.014237384223901245,1.1310055082132127,0.9874117463438408
66029,11,24.0,0.01253061153038895,1.2251102407967143,1.1310055082132127,-0.08320448653885898
66029,12,26.0,0.010654480186846713,1.2448668951355903,1.1310055082132127,-0.10067270768845185
66029,13,28.0,0.009352940545411267,1.2505080875120185,1.1310055082132127,-0.10566047506488152
66029,14,30.0,0.0081404939835675,1.253517265426487,1.1310055082132127,-0.10832109686788449
66029,15,32.0,0.01012743086562769,1.1958031384709795,1.1310055082132127,-0.0572920554207871
66029,16,34.0,0.05,0.035552653638981746,1.1310055082132127,0.9685654460736016
66029,17,36.0,0.05,0.048698020792886376,1.1310055082132127,0.9569427200493297
66029,18,38.0,0.024183855699476106,1.03576230041584,1.1310055082132127,0.08421109102098001
66029,19,40.0,0.023487753354894916,1.0515973282729227,1.1310055082132127,0.07021025040429796
66029,20,42.0,0.023357274256144055,1.0546456461903233,1.1310055082132127,0.06751502222436065
66029,21,44.0,0.023047111412687785,1.0617309829041903,1.1310055082132127,0.06125038720497812
66029,22,46.0,0.027807651910912543,0.9543315371786035,1.1310055082132127,0.15620964685991898
66029,23,48.0,0.05,0.07111618443628256,1.1310055082132127,0.9371212749010979
66029,24,50.0,0.020082007467551396,1.1284080752469292,1.1310055082132127,0.002296569687257257
66029,25,52.0,0.014643282414552894,1.23131367378971,1.1310055082132127,-0.08868936963442936
66029,26,54.0,0.012757933038495956,1.2502364076592682,1.1310055082132127,-0.10542026416336307
66029,27,56.0,0.011624308829784595,1.2518437725543128,1.1310055082132127,-0.10684144636218709
66029,28,58.0,0.010868536341827271,1.2460509850502812,1.1310055082132127,-0.1017196432746114
66029,29,60.0,0.05,0.03378169477419053,1.1310055082132127,0.9701312729877333
66029,30,62.0,0.00824718526372561,1.3517404123563372,1.1310055082132127,-0.19516695766747097
66029,31,64.0,0.005111056898482999,1.3741914973006217,1.1310055082132127,-0.21501751080912032
66029,32,65.0,0.002874588165554248,1.3759517671764547,1.1310055082132127,-0.21657388685066048
