mue,mui,b,tauA,g_LK,g_h,c_th2ctx,c_ctx2th,score,feasible,n_passed,T9_new,T10a_new,T10b_new,T11_new,T9_mi,T10a_phase_argmax_deg,T10b_concentration,T11_up_down_ratio,pac_bimodal,shape_r,T4_q,T12_n_verified,eval
3.9519161104913643,3.070468659175955,35.64283403257257,1763.4019388461086,0.05500555854109204,0.06727456747159817,0.011504314273815345,0.13448823924801304,-1.666667,0,10,1,1,0,0,0.015172711993836671,-10.000000000000002,0.03161781173721247,1.0532990947656455,1,0.0,3.594,10,31
3.9708102615564655,3.082899885960382,34.852388923059046,1785.0906952127577,0.05371208585701492,0.0668873531687819,0.00929480368662148,0.1337662048835083,-1.666667,0,10,1,1,0,1,0.005260572765122973,10.000000000000002,0.07597533601749767,1.2223428157739349,0,0.0,3.777,18,32
4.011374251887046,3.0865459826457746,35.004655343945785,1782.348564601875,0.05547307107906252,0.06862133908693922,0.010161814030107361,0.1369407875774567,-2.5,0,9,0,0,0,1,0.002023309436526353,90.0,0.05924025510695052,1.2081687499973164,0,0.0,3.882,15,33
3.9844909271915827,3.1115326152866847,35.09038720873201,1756.5043936301952,0.052798910138110035,0.0703391936039801,0.012296406981724396,0.13256904063809224,-0.833333,0,11,1,1,1,1,0.0067157740052348975,49.99999999999999,0.10691411726059662,1.3010995491420825,1,0.0,3.986,21,34
3.965515801529787,3.1101829661957567,34.72394765486064,1762.1469389526242,0.05481039613204474,0.06788455393787109,0.01056761939422103,0.13262370010826974,-3.333333,0,8,0,0,0,0,0.004622925306699913,-130.0,0.04126067879139327,1.1451241782266472,1,0.0,3.423,15,35
3.982360006430166,3.1092029005252333,35.064074742121086,1788.47658833155,0.05211689723632468,0.06829961800298646,0.009729510990648227,0.12903544155781274,0.667508,1,12,1,1,1,1,0.01996045472003349,10.000000000000002,0.1867425260773877,1.6871611515265226,1,0.4996415910821951,3.683,21,36
3.9539484684096102,3.0775718650300457,35.298464950590095,1754.760275515037,0.05419770082995012,0.0677770767653023,0.010245068166579139,0.13658878256928875,-1.666667,0,10,1,0,0,0,0.007078543638245572,169.99999999999997,0.07547696943838765,1.0416517817024942,1,0.0,3.604,15,37
3.9870466469875168,3.107930039387429,34.99446901565402,1765.5485377300872,0.053943210520475196,0.06864907623482806,0.01074931461939481,0.12949248651765966,-1.666667,0,10,1,1,0,1,0.011180668891943081,10.000000000000002,0.03739999525234903,1.209781697479725,1,0.0,3.712,15,38
3.976585635421378,3.0877852978920366,35.75331125522062,1809.5740726892482,0.053313825986796876,0.06801322005144358,0.009109299259104097,0.13117100211577723,-1.666667,0,10,1,1,0,1,0.006467150194288506,10.000000000000002,0.04112514473562344,1.2085408827758877,1,0.0,3.349,14,39
3.981846578158641,3.105540928422626,34.8312888186418,1766.263753818556,0.052019780307617045,0.06816288098064871,0.009510326849081535,0.13137931191020844,-1.666667,0,10,1,0,1,0,0.007732011192508562,130.0,0.12486339164084323,1.0154441868033053,1,0.0,3.736,22,40
