track,estimator,parameter,rank_mean,rank_variance,bias_mean,mean_abs_error,median_norm_sd,median_interval_width,corr_width_abs_error,calibration_slope,calibration_intercept,rank_mean_q1,rank_mean_q2,rank_mean_q3,rank_mean_q4,mean_boundary_proximity,fraction_true_near_boundary_0p05
7d,ensemble,tauA,0.5204239120254746,0.10094884674100306,-0.011323468090267852,0.18624820168770384,0.7201008147367141,0.8148707824945449,0.4230854569985205,0.4022742557026317,0.2875394036713522,0.21214332542457542,0.4284270417082917,0.6012308004495505,0.8398944805194806,0.250000000167347,0.099609375
7d,ensemble,g_LK,0.5045286744505495,0.09139349002440228,0.015854438930546166,0.1497811343324429,0.5681560922686553,0.6429291427135467,0.5997519343535036,0.5318361016312718,0.24993638783729302,0.23337209665334666,0.4634311001498502,0.5224853271728271,0.7988261738261738,0.2500000001055014,0.099609375
7d,ensemble,g_h,0.5073559253246753,0.08454686752392529,0.01591640840160835,0.1423891085487412,0.6678579641506355,0.7557524317502975,0.35108879366742507,0.559916107100845,0.23595835466306656,0.2292980457042957,0.4733352584915085,0.5438506805694305,0.7829397165334664,0.2500000001546141,0.1005859375
7d,ensemble,c_th2ctx,0.4969629979395604,0.09465633203287536,-0.04651754060614621,0.15105252116336487,0.6289631512299483,0.7117388075590134,0.33407498773034117,0.6029581217169484,0.15200339843715774,0.2622338598901099,0.3976023976023976,0.541801948051948,0.7862137862137862,0.24999999975261744,0.1005859375
7d,member_1,mue,0.5221058238636364,0.09875586579915459,-0.01438276244334702,0.14783905606418557,0.5651516520443732,0.63952929854393,0.44734636976772774,0.5613665913699761,0.20493394167299644,0.25446818806193805,0.42982798451548454,0.5893754682817183,0.8147516545954046,0.2500000000127329,0.099609375
7d,member_1,mui,0.6323920220404595,0.047799779220127,-0.0034116145084226446,0.005936753424521157,0.02720682732985817,0.030787423402070996,0.48779357918149313,0.9979710959911143,-0.002397162493443958,0.593289522977023,0.6303110951548452,0.644734172077922,0.6612332979520479,0.25000000519321475,0.1005859375
7d,member_1,b,0.4951591377372627,0.0892929822411608,0.003409271250347956,0.09147185250731127,0.3605520550422219,0.4080030590295791,0.48715664996766445,0.8032787174118369,0.1017699124882498,0.31568041333666336,0.4456637112887113,0.5117655781718282,0.7075268481518482,0.2499999999472493,0.099609375
7d,member_1,tauA,0.5208268294205795,0.09885839182069894,-0.009412276289367583,0.1884697215646156,0.7377718776602198,0.8348674726486205,0.40853942299185175,0.42449606930172357,0.27833968868709735,0.23226773226773226,0.44027066683316685,0.582300511988012,0.8284684065934065,0.250000000167347,0.099609375
7d,member_1,g_LK,0.5126240946553446,0.09617385217202372,0.0062793183387839235,0.15081380454648752,0.5412688970847628,0.6125034171342849,0.5998521606602903,0.5285892132439503,0.24198471143726608,0.2360100836663337,0.47542691683316685,0.5294354083416584,0.8096239697802198,0.2500000001055014,0.099609375
7d,member_1,g_h,0.5095383132492508,0.0877328118978142,0.018195435406596516,0.14629638030055503,0.6416251963800383,0.7260672605037689,0.35063657386413105,0.5496116236943361,0.24338962336690412,0.23526863761238762,0.4689958479020979,0.5387737262737262,0.7951150412087912,0.2500000001546141,0.1005859375
