track,estimator,feature,posterior_scaled_abs_error,prior_scaled_abs_error,improvement_fraction,posterior_better
7d,member_2,r_exc_spectral_entropy_0p5_20,0.1142364551658515,0.690941616065677,0.8346655455256398,True
7d,member_2,r_inh_mean_hz,0.0523791238224951,0.5166498679191349,0.8986177543537214,True
7d,member_2,r_inh_std_hz,0.086621424138933,0.5333412823650847,0.8375872504096942,True
7d,member_2,r_inh_relative_so_power,0.4780338525750472,0.7485746533494781,0.361407909770793,True
7d,member_2,r_inh_relative_sigma_power,0.4465171800933101,1.8409243828711035,0.7574494725324228,True
7d,member_2,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_2,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_2,r_inh_spectral_entropy_0p5_20,0.1433217621961295,0.8515489770434956,0.8316928725653218,True
7d,member_3,r_exc_mean_hz,0.0480321305110286,0.4804497691422407,0.9000267382857075,True
7d,member_3,r_exc_std_hz,0.1011755566156067,0.5084701442481019,0.801019670947997,True
7d,member_3,r_exc_relative_so_power,0.4674771525195165,0.6531174875358698,0.2842372751597128,True
7d,member_3,r_exc_relative_sigma_power,0.5793694520010867,1.1902638376820651,0.5132428343539714,True
7d,member_3,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_3,r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
7d,member_3,r_exc_spectral_entropy_0p5_20,0.1502033032959799,0.690941616065677,0.7826107158644464,True
7d,member_3,r_inh_mean_hz,0.0617672293868826,0.5166498679191349,0.8804466366445479,True
7d,member_3,r_inh_std_hz,0.077632209764523,0.5333412823650847,0.8544417761545375,True
7d,member_3,r_inh_relative_so_power,0.5116185531523393,0.7485746533494781,0.3165430450214749,True
7d,member_3,r_inh_relative_sigma_power,0.4615764649884712,1.8409243828711035,0.7492691881952277,True
7d,member_3,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_3,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_3,r_inh_spectral_entropy_0p5_20,0.1542809295402709,0.8515489770434956,0.8188231872746522,True
7d,member_4,r_exc_mean_hz,0.0510181291401483,0.4804497691422407,0.8938117313882108,True
7d,member_4,r_exc_std_hz,0.0874545175283386,0.5084701442481019,0.8280046163621628,True
7d,member_4,r_exc_relative_so_power,0.404259867735277,0.6531174875358698,0.381030403487589,True
7d,member_4,r_exc_relative_sigma_power,0.7301162430181389,1.1902638376820651,0.3865929385538785,True
7d,member_4,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_4,r_exc_sigma_peak_frequency_hz,2.0,2.6666666666666665,0.25,True
7d,member_4,r_exc_spectral_entropy_0p5_20,0.1575815012113422,0.690941616065677,0.7719322478957998,True
7d,member_4,r_inh_mean_hz,0.0568344718829573,0.5166498679191349,0.8899942196600871,True
7d,member_4,r_inh_std_hz,0.1093106996720597,0.5333412823650847,0.7950454928459223,True
7d,member_4,r_inh_relative_so_power,0.4511143041075609,0.7485746533494781,0.3973689837225165,True
7d,member_4,r_inh_relative_sigma_power,0.4758228943141547,1.8409243828711035,0.7415304513637535,True
7d,member_4,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_4,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_4,r_inh_spectral_entropy_0p5_20,0.1633077679403393,0.8515489770434956,0.8082226949443005,True
7d,member_5,r_exc_mean_hz,0.0471145284761133,0.4804497691422407,0.9019366195966164,True
7d,member_5,r_exc_std_hz,0.10290351313329,0.5084701442481019,0.7976213268421921,True
7d,member_5,r_exc_relative_so_power,0.3952718255389146,0.6531174875358698,0.3947921574872761,True
7d,member_5,r_exc_relative_sigma_power,0.6609386887187628,1.1902638376820651,0.4447124513117334,True
7d,member_5,r_exc_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_5,r_exc_sigma_peak_frequency_hz,1.6666666666666667,2.6666666666666665,0.3749999999999999,True
7d,member_5,r_exc_spectral_entropy_0p5_20,0.1506327231993784,0.690941616065677,0.7819892163145371,True
7d,member_5,r_inh_mean_hz,0.0639458184482103,0.5166498679191349,0.8762298755523557,True
7d,member_5,r_inh_std_hz,0.0827805816862781,0.5333412823650847,0.8447887226745502,True
7d,member_5,r_inh_relative_so_power,0.4254464775826246,0.7485746533494781,0.4316579172444922,True
7d,member_5,r_inh_relative_sigma_power,0.5365691780059509,1.8409243828711035,0.7085327442026064,True
7d,member_5,r_inh_so_peak_frequency_hz,0.0,0.5,1.0,True
7d,member_5,r_inh_sigma_peak_frequency_hz,0.2857142857142857,0.5714285714285714,0.5,True
7d,member_5,r_inh_spectral_entropy_0p5_20,0.1742159614691097,0.8515489770434956,0.7954128697635543,True
