track,case_id,trace_within,trace_between,trace_mix,trace_between_fraction,pairwise_euclid_mean,pairwise_mahal_mean,leading_pc_angle_deg_mean
7d,522,0.19288389299607214,0.0073702046818003636,0.2002540976778725,0.03680426401888679,0.1272305715829134,0.8901328954401947,5.931718914884213
7d,544,0.16516885704951825,0.002873182327912094,0.16804203937743034,0.01709799725447744,0.07417288832366467,0.7690409051992367,6.34699577292025
7d,565,0.18541151896168984,0.0024568703356547955,0.18786838929734465,0.013077614306716799,0.07564627639949321,0.5383077704242287,9.391466667249592
7d,587,0.18510982880162669,0.0032599268670280603,0.18836975566865474,0.017305999338674733,0.0808672733604908,0.6134030697041568,5.205955213238985
7d,609,0.17864969888639293,0.0013920701910014566,0.1800417690773944,0.007731929085872561,0.057420936226844785,0.5804648513611644,3.724161461020407
7d,631,0.284228999005978,0.000608203888521377,0.28483720289449943,0.002135268435235439,0.03781743682920933,0.4231094449456971,41.54516090628338
7d,652,0.15963187447243274,0.0015428045778176091,0.16117467905025037,0.009572251590068933,0.060418907552957535,0.6096515478645914,3.115330071830541
7d,674,0.3052884542482304,0.0017645535724066974,0.30705300782063705,0.005746739251736787,0.06325980629771948,0.32712875640650846,11.916661499779455
7d,696,0.14794664377432745,0.0022773105126831085,0.15022395428701057,0.015159436612433925,0.07160407565534115,0.5875076286738223,30.586504222312094
7d,718,0.26739655316604866,0.001795342946825045,0.2691918961128737,0.006669379623791674,0.06439954340457917,0.5139079793848951,48.39343235477988
7d,740,0.15428131159404507,0.0026585966255605344,0.15693990821960563,0.01694022034115355,0.07530972696840763,0.8125846321738676,2.943660495844111
7d,761,0.15253336489371414,0.003610325899267225,0.15614369079298138,0.02312181735254274,0.08993976376950741,0.764646655059838,3.325796793823553
7d,783,0.20684955511661288,0.0020850200564557176,0.2089345751730686,0.009979296412422956,0.06972505114972591,0.5514082433392045,14.658638729859613
7d,805,0.2731213296787139,0.0015148005652089224,0.2746361302439228,0.00551566381256365,0.058178880251944065,0.3661968497187961,8.01560080953239
7d,827,0.18378989240674215,0.0019230389449855067,0.18571293135172762,0.010354900603789416,0.06575277522206306,0.5495479254785188,16.672584961601054
7d,848,0.17666255896086708,0.0014376107254651582,0.17810016968633224,0.008071922267098679,0.057646704092621806,0.46473869163760584,29.672132150356276
7d,870,0.276361438112393,0.0015544215484255776,0.2779158596608186,0.005593137255004683,0.055516814906150104,0.35193756217661043,16.24192874150824
7d,892,0.19858357172011698,0.0028452777862676723,0.20142884950638462,0.014125473055325605,0.07747761644423008,0.6418789616876311,16.230851596221385
7d,914,0.29570699801586764,0.0020162384982125945,0.2977232365140802,0.0067721905814941,0.06951607279479503,0.47035273182388637,8.06046544704741
7d,935,0.16722942237166102,0.0018629459127696936,0.16909236828443072,0.01101732698921117,0.06624011099338531,0.5591664876177853,3.2175758796296323
7d,957,0.2721290290210464,0.002694391368859385,0.2748234203899058,0.00980408207217826,0.07937210649251938,0.5453205782244017,6.2542446951556325
7d,979,0.2916181142790827,0.0012297203778524057,0.2928478346569351,0.004199178659773929,0.053276830911636354,0.38705976429148137,30.926600414117967
7d,1001,0.20569015726231316,0.003216512933529288,0.20890667019584244,0.01539688957999246,0.08413101155310869,0.5950917903866035,6.009578939302256
7d,1023,0.19041141595781266,0.0009583726906209302,0.19136978864843363,0.00500796231938972,0.04671047758311033,0.5698407254742627,4.970177655379958
