track,case_id,parameter,f_between,trace_between_fraction,pairwise_mahal_mean,n_posterior_samples_per_member
8d,370,b,0.010159504338599521,0.005042525420351435,0.3711267525265521,512
8d,370,tauA,0.004389101406011135,0.005042525420351435,0.3711267525265521,512
8d,370,g_LK,0.0052824181021619695,0.005042525420351435,0.3711267525265521,512
8d,370,g_h,0.01176810256253266,0.005042525420351435,0.3711267525265521,512
8d,370,c_th2ctx,0.001600378866799559,0.005042525420351435,0.3711267525265521,512
8d,370,c_ctx2th,0.0015433303335538298,0.005042525420351435,0.3711267525265521,512
8d,391,mue,0.006753181020884199,0.0051366947164159455,0.3895197465267627,512
8d,391,mui,0.017409470645612875,0.0051366947164159455,0.3895197465267627,512
8d,391,b,0.0008807371762901382,0.0051366947164159455,0.3895197465267627,512
8d,391,tauA,0.004409721829141322,0.0051366947164159455,0.3895197465267627,512
8d,391,g_LK,0.0008725699775939344,0.0051366947164159455,0.3895197465267627,512
8d,391,g_h,0.0032879570318098666,0.0051366947164159455,0.3895197465267627,512
8d,391,c_th2ctx,0.004835144156809609,0.0051366947164159455,0.3895197465267627,512
8d,391,c_ctx2th,0.007368472196667309,0.0051366947164159455,0.3895197465267627,512
8d,413,mue,0.001974270509270986,0.010915840624904397,0.5349218118497656,512
8d,413,mui,0.01019316664990891,0.010915840624904397,0.5349218118497656,512
8d,413,b,0.06983552966649971,0.010915840624904397,0.5349218118497656,512
8d,413,tauA,0.018236422270221802,0.010915840624904397,0.5349218118497656,512
8d,413,g_LK,0.0023275131812999094,0.010915840624904397,0.5349218118497656,512
8d,413,g_h,0.010587145489498873,0.010915840624904397,0.5349218118497656,512
8d,413,c_th2ctx,0.0039625852037918526,0.010915840624904397,0.5349218118497656,512
8d,413,c_ctx2th,0.009441016993392221,0.010915840624904397,0.5349218118497656,512
8d,435,mue,0.008018086106195808,0.011599682579496676,0.6538090136115688,512
8d,435,mui,0.014516138021638713,0.011599682579496676,0.6538090136115688,512
8d,435,b,0.030300945317991525,0.011599682579496676,0.6538090136115688,512
8d,435,tauA,0.00224362191504786,0.011599682579496676,0.6538090136115688,512
8d,435,g_LK,0.007354954626923361,0.011599682579496676,0.6538090136115688,512
8d,435,g_h,0.011157582595964666,0.011599682579496676,0.6538090136115688,512
8d,435,c_th2ctx,0.02900679189479528,0.011599682579496676,0.6538090136115688,512
8d,435,c_ctx2th,0.004037831480219527,0.011599682579496676,0.6538090136115688,512
8d,457,mue,0.001962602641566736,0.0038350690097516548,0.3188176807813134,512
8d,457,mui,0.009083496245426884,0.0038350690097516548,0.3188176807813134,512
8d,457,b,0.006340550239897506,0.0038350690097516548,0.3188176807813134,512
8d,457,tauA,0.0009348269603230853,0.0038350690097516548,0.3188176807813134,512
8d,457,g_LK,0.0010268754463210342,0.0038350690097516548,0.3188176807813134,512
8d,457,g_h,0.011283147553641001,0.0038350690097516548,0.3188176807813134,512
8d,457,c_th2ctx,0.0037842446196570366,0.0038350690097516548,0.3188176807813134,512
8d,457,c_ctx2th,0.0024616113796202127,0.0038350690097516548,0.3188176807813134,512
8d,478,mue,0.001672850224920951,0.004032067861941679,0.29762992123316157,512
8d,478,mui,0.0059758288541566906,0.004032067861941679,0.29762992123316157,512
8d,478,b,0.0050624731218954925,0.004032067861941679,0.29762992123316157,512
8d,478,tauA,0.001366478579553485,0.004032067861941679,0.29762992123316157,512
8d,478,g_LK,0.008495083533177667,0.004032067861941679,0.29762992123316157,512
8d,478,g_h,0.008699461018072759,0.004032067861941679,0.29762992123316157,512
8d,478,c_th2ctx,0.0018459247276320034,0.004032067861941679,0.29762992123316157,512
8d,478,c_ctx2th,0.0012612905275001247,0.004032067861941679,0.29762992123316157,512
8d,500,mue,0.002127106745868855,0.009358039055694361,0.45228283338347663,512
8d,500,mui,0.0029673050999798464,0.009358039055694361,0.45228283338347663,512
8d,500,b,0.002867911517143814,0.009358039055694361,0.45228283338347663,512
8d,500,tauA,0.0022905397283796798,0.009358039055694361,0.45228283338347663,512
8d,500,g_LK,0.005575649194347453,0.009358039055694361,0.45228283338347663,512
8d,500,g_h,0.030802959455452843,0.009358039055694361,0.45228283338347663,512
8d,500,c_th2ctx,0.009800868779065013,0.009358039055694361,0.45228283338347663,512
8d,500,c_ctx2th,0.0054322357156036515,0.009358039055694361,0.45228283338347663,512
8d,522,mue,0.014348079428916102,0.01465193873390127,0.5721590088217505,512
8d,522,mui,0.01748302927084724,0.01465193873390127,0.5721590088217505,512
8d,522,b,0.014120171396285491,0.01465193873390127,0.5721590088217505,512
8d,522,tauA,0.02036744518353354,0.01465193873390127,0.5721590088217505,512
8d,522,g_LK,0.015185923160667523,0.01465193873390127,0.5721590088217505,512
8d,522,g_h,0.03794205779402538,0.01465193873390127,0.5721590088217505,512
8d,522,c_th2ctx,0.012030057398745764,0.01465193873390127,0.5721590088217505,512
8d,522,c_ctx2th,0.0028233226367932952,0.01465193873390127,0.5721590088217505,512
8d,544,mue,0.0035584089357238347,0.00849671241191163,0.515489749239976,512
8d,544,mui,0.04411643700676374,0.00849671241191163,0.515489749239976,512
8d,544,b,0.00864048794719492,0.00849671241191163,0.515489749239976,512
8d,544,tauA,0.004815439237192638,0.00849671241191163,0.515489749239976,512
8d,544,g_LK,0.017356171658253854,0.00849671241191163,0.515489749239976,512
8d,544,g_h,0.016661582897484855,0.00849671241191163,0.515489749239976,512
8d,544,c_th2ctx,0.03363366496324891,0.00849671241191163,0.515489749239976,512
8d,544,c_ctx2th,0.005560244805368394,0.00849671241191163,0.515489749239976,512
8d,565,mue,0.010432296231679,0.027586258585528253,0.8605530878671088,512
8d,565,mui,0.024300683550285442,0.027586258585528253,0.8605530878671088,512
8d,565,b,0.031541519566421886,0.027586258585528253,0.8605530878671088,512
8d,565,tauA,0.007125887802884149,0.027586258585528253,0.8605530878671088,512
8d,565,g_LK,0.029202829462675245,0.027586258585528253,0.8605530878671088,512
8d,565,g_h,0.09952142154625096,0.027586258585528253,0.8605530878671088,512
8d,565,c_th2ctx,0.06617480641076876,0.027586258585528253,0.8605530878671088,512
8d,565,c_ctx2th,0.004704339989288939,0.027586258585528253,0.8605530878671088,512
8d,587,mue,0.00788500178808168,0.010319357767329212,0.5510263196862116,512
8d,587,mui,0.015966635620725273,0.010319357767329212,0.5510263196862116,512
8d,587,b,0.008490383983898078,0.010319357767329212,0.5510263196862116,512
8d,587,tauA,0.0328748947938084,0.010319357767329212,0.5510263196862116,512
8d,587,g_LK,0.005644289814558787,0.010319357767329212,0.5510263196862116,512
8d,587,g_h,0.008983688414347333,0.010319357767329212,0.5510263196862116,512
8d,587,c_th2ctx,0.018064965036449925,0.010319357767329212,0.5510263196862116,512
8d,587,c_ctx2th,0.0037405461214640836,0.010319357767329212,0.5510263196862116,512
8d,609,mue,0.012268594793699437,0.013385872642213043,0.5685688074000437,512
8d,609,mui,0.012062015040279355,0.013385872642213043,0.5685688074000437,512
8d,609,b,0.023859915058416413,0.013385872642213043,0.5685688074000437,512
8d,609,tauA,0.019229757242608912,0.013385872642213043,0.5685688074000437,512
8d,609,g_LK,0.03612695428633674,0.013385872642213043,0.5685688074000437,512
8d,609,g_h,0.023372368867211796,0.013385872642213043,0.5685688074000437,512
8d,609,c_th2ctx,0.000782160006620614,0.013385872642213043,0.5685688074000437,512
8d,609,c_ctx2th,0.00219409691989904,0.013385872642213043,0.5685688074000437,512
